Strain	Genotype	Block	AUDPC
Strain1	Nipper 	B1	720
Strain1	Nipper 	B2	670
Strain1	Nipper 	B3	587
Strain1	Nipper 	B4	535
Strain1	Boomer	B1	738
Strain1	Boomer	B2	820
Strain1	Boomer	B3	760
Strain1	Boomer	B4	608
Strain1	Nugget	B1	782
Strain1	Nugget	B2	898
Strain1	Nugget	B3	764
Strain1	Nugget	B4	820
Strain2	Nipper 	B1	695
Strain2	Nipper 	B2	760
Strain2	Nipper 	B3	722
Strain2	Nipper 	B4	560
Strain2	Boomer	B1	755
Strain2	Boomer	B2	915
Strain2	Boomer	B3	810
Strain2	Boomer	B4	530
Strain2	Nugget	B1	742
Strain2	Nugget	B2	889
Strain2	Nugget	B3	840
Strain2	Nugget	B4	737
Strain3	Nipper 	B1	537
Strain3	Nipper 	B2	475
Strain3	Nipper 	B3	308
Strain3	Nipper 	B4	530
Strain3	Boomer	B1	695
Strain3	Boomer	B2	741
Strain3	Boomer	B3	480
Strain3	Boomer	B4	600
Strain3	Nugget	B1	600
Strain3	Nugget	B2	520
Strain3	Nugget	B3	480
Strain3	Nugget	B4	460
Strain4	Nipper 	B1	387
Strain4	Nipper 	B2	615
Strain4	Nipper 	B3	475
Strain4	Nipper 	B4	450
Strain4	Boomer	B1	535
Strain4	Boomer	B2	650
Strain4	Boomer	B3	479
Strain4	Boomer	B4	550
Strain4	Nugget	B1	535
Strain4	Nugget	B2	650
Strain4	Nugget	B3	628
Strain4	Nugget	B4	610
Strain5	Nipper 	B1	450
Strain5	Nipper 	B2	480
Strain5	Nipper 	B3	335
Strain5	Nipper 	B4	411
Strain5	Boomer	B1	514
Strain5	Boomer	B2	445
Strain5	Boomer	B3	485
Strain5	Boomer	B4	295
Strain5	Nugget	B1	450
Strain5	Nugget	B2	491
Strain5	Nugget	B3	328
Strain5	Nugget	B4	502
Strain6	Nipper 	B1	310
Strain6	Nipper 	B2	465
Strain6	Nipper 	B3	220
Strain6	Nipper 	B4	350
Strain6	Boomer	B1	300
Strain6	Boomer	B2	459
Strain6	Boomer	B3	246
Strain6	Boomer	B4	430
Strain6	Nugget	B1	295
Strain6	Nugget	B2	490
Strain6	Nugget	B3	175
Strain6	Nugget	B4	448
